Locality,Type of property,Subtype of property,Price,Type of Sale,Number of rooms,Living Area,Kitchen Fully Equiped,Furnished,Open fire,Terrace,Garden,Surface Land,Number of facades,Swimming Pool,State of the building
7780,HOUSE,HOUSE,238000,isNewClassified,3,194,No,No,No,30,No,420,2,No,AS_NEW
8510,HOUSE,BUNGALOW,310000,isNewClassified,3,151,No,No,No,,300,632,4,No,GOOD
8500,APARTMENT,APARTMENT,795000,isNewClassified,2,163,Yes,No,No,,No,,2,No,AS_NEW
8501,HOUSE,HOUSE,425000,isNewClassified,3,190,Yes,No,No,20,300,443,4,No,AS_NEW
8500,HOUSE,HOUSE,479000,isNewClassified,3,155,No,No,No,40,100,287,3,No,AS_NEW
3910,APARTMENT,GROUND_FLOOR,299000,isNewClassified,2,115,No,No,No,25,No,,2,No,
8620,APARTMENT,APARTMENT,264900,isNewClassified,2,60,No,Yes,No,,No,,2,No,
9750,HOUSE,HOUSE,1095000,isNewClassified,4,285,No,Yes,No,No,No,18620,4,No,AS_NEW
3500,APARTMENT,DUPLEX,249000,isNewClassified,1,75,No,No,No,,No,,,No,GOOD
1030,HOUSE,APARTMENT_BLOCK,365000,isNewClassified,4,250,No,No,No,No,80,180,,No,GOOD
6810,HOUSE,MIXED_USE_BUILDING,95000,isNewClassified,0,,No,No,No,No,No,0,,No,
9230,APARTMENT,APARTMENT,330000,isNewlyBuilt,2,117,No,No,No,19,No,,2,No,
9300,HOUSE,HOUSE,381000,isNewlyBuilt,3,167,No,No,No,No,No,728,2,No,
9310,HOUSE,HOUSE,381000,isNewlyBuilt,3,167,No,No,No,No,No,728,2,No,
6060,HOUSE,HOUSE,149000,isNewClassified,2,145,No,No,No,No,No,0,,No,GOOD
1070,HOUSE,APARTMENT_BLOCK,825000,isNewClassified,6,390,No,No,No,No,No,171,,No,
8501,HOUSE,HOUSE,365000,isNewClassified,4,175,Yes,No,No,No,No,125,2,No,JUST_RENOVATED
2930,HOUSE,HOUSE,540750,isNewClassified,4,230,No,No,No,No,940,1100,3,No,TO_RENOVATE
7333,HOUSE,VILLA,495000,isNewClassified,4,180,No,No,No,66,1032,1200,4,Yes,GOOD
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
2440,APARTMENT,APARTMENT,189000,isNewClassified,2,89,No,No,No,No,No,,3,No,GOOD
8610,HOUSE,HOUSE,335000,isNewClassified,5,283,No,No,No,40,No,0,3,No,GOOD
7170,HOUSE,HOUSE,219500,isNewClassified,3,150,No,No,No,19,370,455,3,No,
7063,HOUSE,APARTMENT_BLOCK,199000,isNewPrice,4,260,No,No,No,26,No,180,2,No,
